$LINEROUTEITEM:LINENAME,LINEROUTENAME,DIRECTIONCODE,INDEX,ISROUTEPOINT,NODENO,STOPPOINTNO,POSTLENGTH,ADDVAL
28(강화)_신설,28(강화)_신설,>,1,1,,4349,0km,0
28(강화)_신설,28(강화)_신설,>,2,0,7298,,0km,0
28(강화)_신설,28(강화)_신설,>,3,0,391,,0km,0
28(강화)_신설,28(강화)_신설,>,4,0,4937,,0km,0
28(강화)_신설,28(강화)_신설,>,5,0,411,,0km,0
28(강화)_신설,28(강화)_신설,>,6,0,386,,0km,0
28(강화)_신설,28(강화)_신설,>,7,1,,2962,0km,0
28(강화)_신설,28(강화)_신설,>,8,0,7296,,0km,0
28(강화)_신설,28(강화)_신설,>,9,0,5061,,0km,0
28(강화)_신설,28(강화)_신설,>,10,0,371,,0km,0
28(강화)_신설,28(강화)_신설,>,11,1,,3794,0km,0
28(강화)_신설,28(강화)_신설,>,12,0,7290,,0km,0
28(강화)_신설,28(강화)_신설,>,13,0,352,,0km,0
28(강화)_신설,28(강화)_신설,>,14,0,5704,,0km,0
28(강화)_신설,28(강화)_신설,>,15,0,348,,0km,0
28(강화)_신설,28(강화)_신설,>,16,1,,2945,0km,0
28(강화)_신설,28(강화)_신설,>,17,0,7063,,0km,0
28(강화)_신설,28(강화)_신설,>,18,1,,3932,0km,0
28(강화)_신설,28(강화)_신설,>,19,0,7061,,0km,0
28(강화)_신설,28(강화)_신설,>,20,0,5063,,0km,0
28(강화)_신설,28(강화)_신설,>,21,1,,2726,0km,0
28(강화)_신설,28(강화)_신설,>,22,0,7059,,0km,0
28(강화)_신설,28(강화)_신설,>,23,0,330,,0km,0
28(강화)_신설,28(강화)_신설,>,24,0,318,,0km,0
28(강화)_신설,28(강화)_신설,>,25,1,,3065,0km,0
28(강화)_신설,28(강화)_신설,>,26,0,7051,,0km,0
28(강화)_신설,28(강화)_신설,>,27,0,312,,0km,0
28(강화)_신설,28(강화)_신설,>,28,1,,3547,0km,0
28(강화)_신설,28(강화)_신설,>,29,0,7049,,0km,0
28(강화)_신설,28(강화)_신설,>,30,1,,3436,0km,0
28(강화)_신설,28(강화)_신설,>,31,0,7047,,0km,0
28(강화)_신설,28(강화)_신설,>,32,0,297,,0km,0
28(강화)_신설,28(강화)_신설,>,33,1,,3186,0km,0
28(강화)_신설,28(강화)_신설,>,34,0,7045,,0km,0
28(강화)_신설,28(강화)_신설,>,35,0,3859,,0km,0
28(강화)_신설,28(강화)_신설,>,36,0,296,,0km,0
28(강화)_신설,28(강화)_신설,>,37,1,,3830,0km,0
28(강화)_신설,28(강화)_신설,>,38,0,7042,,0km,0
28(강화)_신설,28(강화)_신설,>,39,1,,3519,0km,0
28(강화)_신설,28(강화)_신설,>,40,0,7040,,0km,0
28(강화)_신설,28(강화)_신설,>,41,0,285,,0km,0
28(강화)_신설,28(강화)_신설,>,42,1,,3442,0km,0
28(강화)_신설,28(강화)_신설,>,43,0,6996,,0km,0
28(강화)_신설,28(강화)_신설,>,44,1,,3615,0km,0
28(강화)_신설,28(강화)_신설,>,45,0,6994,,0km,0
28(강화)_신설,28(강화)_신설,>,46,1,,3651,0km,0
28(강화)_신설,28(강화)_신설,>,47,0,6992,,0km,0
28(강화)_신설,28(강화)_신설,>,48,0,220,,0km,0
28(강화)_신설,28(강화)_신설,>,49,1,,3839,0km,0
28(강화)_신설,28(강화)_신설,>,50,0,6913,,0km,0
28(강화)_신설,28(강화)_신설,>,51,0,219,,0km,0
28(강화)_신설,28(강화)_신설,>,52,1,,3423,0km,0
28(강화)_신설,28(강화)_신설,>,53,0,6911,,0km,0
28(강화)_신설,28(강화)_신설,>,54,1,,2633,0km,0
28(강화)_신설,28(강화)_신설,>,55,0,6909,,0km,0
28(강화)_신설,28(강화)_신설,>,56,0,185,,0km,0
28(강화)_신설,28(강화)_신설,>,57,0,12512,,0km,0
28(강화)_신설,28(강화)_신설,>,58,0,186,,0km,0
28(강화)_신설,28(강화)_신설,>,59,1,,2626,0km,0
28(강화)_신설,28(강화)_신설,>,60,0,6899,,0km,0
28(강화)_신설,28(강화)_신설,>,61,1,,2627,0km,0
28(강화)_신설,28(강화)_신설,>,62,0,6897,,0km,0
28(강화)_신설,28(강화)_신설,>,63,1,,2628,0km,0
28(강화)_신설,28(강화)_신설,>,64,0,6895,,0km,0
28(강화)_신설,28(강화)_신설,>,65,1,,3554,0km,0
28(강화)_신설,28(강화)_신설,>,66,0,6893,,0km,0
28(강화)_신설,28(강화)_신설,>,67,0,5379,,0km,0
28(강화)_신설,28(강화)_신설,>,68,1,,3553,0km,0
28(강화)_신설,28(강화)_신설,>,69,0,6891,,0km,0
28(강화)_신설,28(강화)_신설,>,70,1,,3552,0km,0
28(강화)_신설,28(강화)_신설,>,71,0,6889,,0km,0
28(강화)_신설,28(강화)_신설,>,72,1,,3551,0km,0
28(강화)_신설,28(강화)_신설,>,73,0,6886,,0km,0
28(강화)_신설,28(강화)_신설,>,74,0,225,,0km,0
28(강화)_신설,28(강화)_신설,>,75,0,240,,0km,0
28(강화)_신설,28(강화)_신설,>,76,0,5918,,0km,0
28(강화)_신설,28(강화)_신설,>,77,0,246,,0km,0
28(강화)_신설,28(강화)_신설,>,78,1,,3550,0km,0
28(강화)_신설,28(강화)_신설,>,79,0,6883,,0km,0
28(강화)_신설,28(강화)_신설,>,80,0,4938,,0km,0
28(강화)_신설,28(강화)_신설,>,81,1,,2630,0km,0
28(강화)_신설,28(강화)_신설,>,82,0,6880,,0km,0
28(강화)_신설,28(강화)_신설,>,83,0,258,,0km,0
28(강화)_신설,28(강화)_신설,>,84,1,,2631,0km,0
28(강화)_신설,28(강화)_신설,>,85,0,6878,,0km,0
28(강화)_신설,28(강화)_신설,>,86,0,3751,,0km,0
28(강화)_신설,28(강화)_신설,>,87,0,257,,0km,0
28(강화)_신설,28(강화)_신설,>,88,1,,3365,0km,0
28(강화)_신설,28(강화)_신설,>,89,0,6866,,0km,0
28(강화)_신설,28(강화)_신설,>,90,1,,3548,0km,0
28(강화)_신설,28(강화)_신설,>,91,0,6864,,0km,0
28(강화)_신설,28(강화)_신설,>,92,1,,2632,0km,0
28(강화)_신설,28(강화)_신설,>,93,0,6863,,0km,0
28(강화)_신설,28(강화)_신설,>,94,1,,3424,0km,0
28(강화)_신설,28(강화)_신설,>,95,0,6861,,0km,0
28(강화)_신설,28(강화)_신설,>,96,0,221,,0km,0
28(강화)_신설,28(강화)_신설,>,97,1,,3162,0km,0
28(강화)_신설,28(강화)_신설,>,98,0,6796,,0km,0
28(강화)_신설,28(강화)_신설,>,99,0,3752,,0km,0
28(강화)_신설,28(강화)_신설,>,100,1,,3840,0km,0
28(강화)_신설,28(강화)_신설,>,101,0,6794,,0km,0
28(강화)_신설,28(강화)_신설,>,102,0,211,,0km,0
28(강화)_신설,28(강화)_신설,>,103,1,,3163,0km,0
28(강화)_신설,28(강화)_신설,>,104,0,6792,,0km,0
28(강화)_신설,28(강화)_신설,>,105,0,209,,0km,0
28(강화)_신설,28(강화)_신설,>,106,1,,3841,0km,0
28(강화)_신설,28(강화)_신설,>,107,0,6791,,0km,0
28(강화)_신설,28(강화)_신설,>,108,1,,3072,0km,0
28(강화)_신설,28(강화)_신설,>,109,0,6789,,0km,0
28(강화)_신설,28(강화)_신설,>,110,0,162,,0km,0
28(강화)_신설,28(강화)_신설,>,111,1,,3842,0km,0
28(강화)_신설,28(강화)_신설,>,112,0,6787,,0km,0
28(강화)_신설,28(강화)_신설,>,113,1,,3164,0km,0
28(강화)_신설,28(강화)_신설,>,114,0,6785,,0km,0
28(강화)_신설,28(강화)_신설,>,115,1,,3165,0km,0
28(강화)_신설,28(강화)_신설,>,116,0,6783,,0km,0
28(강화)_신설,28(강화)_신설,>,117,1,,3843,0km,0
28(강화)_신설,28(강화)_신설,>,118,0,6781,,0km,0
28(강화)_신설,28(강화)_신설,>,119,0,134,,0km,0
28(강화)_신설,28(강화)_신설,>,120,1,,3511,0km,0
28(강화)_신설,28(강화)_신설,>,121,0,6777,,0km,0
28(강화)_신설,28(강화)_신설,>,122,1,,3359,0km,0
28(강화)_신설,28(강화)_신설,>,123,0,6779,,0km,0
28(강화)_신설,28(강화)_신설,>,124,0,130,,0km,0
28(강화)_신설,28(강화)_신설,>,125,0,3748,,0km,0
28(강화)_신설,28(강화)_신설,>,126,0,134,,0km,0
28(강화)_신설,28(강화)_신설,>,127,1,,3494,0km,0
28(강화)_신설,28(강화)_신설,>,128,0,6776,,0km,0
28(강화)_신설,28(강화)_신설,>,129,1,,2650,0km,0
28(강화)_신설,28(강화)_신설,>,130,0,6775,,0km,0
28(강화)_신설,28(강화)_신설,>,131,1,,3361,0km,0
28(강화)_신설,28(강화)_신설,>,132,0,6773,,0km,0
28(강화)_신설,28(강화)_신설,>,133,0,119,,0km,0
28(강화)_신설,28(강화)_신설,>,134,1,,3362,0km,0
28(강화)_신설,28(강화)_신설,>,135,0,6761,,0km,0
28(강화)_신설,28(강화)_신설,>,136,1,,3363,0km,0
28(강화)_신설,28(강화)_신설,>,137,0,6763,,0km,0
28(강화)_신설,28(강화)_신설,>,138,0,125,,0km,0
28(강화)_신설,28(강화)_신설,>,139,1,,3040,0km,0
28(강화)_신설,28(강화)_신설,>,140,0,6765,,0km,0
28(강화)_신설,28(강화)_신설,>,141,1,,3844,0km,0
28(강화)_신설,28(강화)_신설,>,142,0,6767,,0km,0
28(강화)_신설,28(강화)_신설,>,143,0,132,,0km,0
28(강화)_신설,28(강화)_신설,>,144,1,,3845,0km,0
28(강화)_신설,28(강화)_신설,>,145,0,6769,,0km,0
28(강화)_신설,28(강화)_신설,>,146,1,,3013,0km,0
28(강화)_신설,28(강화)_신설,>,147,0,6771,,0km,0
28(강화)_신설,28(강화)_신설,>,148,0,4079,,0km,0
28(강화)_신설,28(강화)_신설,>,149,1,,3560,0km,0
28(강화)_신설,28(강화)_신설,>,150,0,6842,,0km,0
28(강화)_신설,28(강화)_신설,>,151,0,141,,0km,0
28(강화)_신설,28(강화)_신설,>,152,0,3753,,0km,0
28(강화)_신설,28(강화)_신설,>,153,1,,3445,0km,0
28(강화)_신설,28(강화)_신설,>,154,0,6836,,0km,0
28(강화)_신설,28(강화)_신설,>,155,0,114,,0km,0
28(강화)_신설,28(강화)_신설,>,156,1,,3561,0km,0
28(강화)_신설,28(강화)_신설,>,157,0,6835,,0km,0
28(강화)_신설,28(강화)_신설,>,158,0,141,,0km,0
28(강화)_신설,28(강화)_신설,>,159,1,,3827,0km,0
28(강화)_신설,28(강화)_신설,>,160,0,6841,,0km,0
28(강화)_신설,28(강화)_신설,>,161,1,,3364,0km,0
28(강화)_신설,28(강화)_신설,>,162,0,6770,,0km,0
28(강화)_신설,28(강화)_신설,>,163,1,,3706,0km,0
28(강화)_신설,28(강화)_신설,>,164,0,6768,,0km,0
28(강화)_신설,28(강화)_신설,>,165,0,132,,0km,0
28(강화)_신설,28(강화)_신설,>,166,1,,3012,0km,0
28(강화)_신설,28(강화)_신설,>,167,0,6766,,0km,0
28(강화)_신설,28(강화)_신설,>,168,0,3945,,0km,0
28(강화)_신설,28(강화)_신설,>,169,1,,3038,0km,0
28(강화)_신설,28(강화)_신설,>,170,0,6764,,0km,0
28(강화)_신설,28(강화)_신설,>,171,0,125,,0km,0
28(강화)_신설,28(강화)_신설,>,172,0,3944,,0km,0
28(강화)_신설,28(강화)_신설,>,173,1,,2998,0km,0
28(강화)_신설,28(강화)_신설,>,174,0,6762,,0km,0
28(강화)_신설,28(강화)_신설,>,175,1,,2997,0km,0
28(강화)_신설,28(강화)_신설,>,176,0,6760,,0km,0
28(강화)_신설,28(강화)_신설,>,177,0,119,,0km,0
28(강화)_신설,28(강화)_신설,>,178,1,,3829,0km,0
28(강화)_신설,28(강화)_신설,>,179,0,6772,,0km,0
28(강화)_신설,28(강화)_신설,>,180,0,3828,,0km,0
28(강화)_신설,28(강화)_신설,>,181,1,,3707,0km,0
28(강화)_신설,28(강화)_신설,>,182,0,6774,,0km,0
28(강화)_신설,28(강화)_신설,>,183,0,134,,0km,0
28(강화)_신설,28(강화)_신설,>,184,1,,3510,0km,0
28(강화)_신설,28(강화)_신설,>,185,0,6778,,0km,0
28(강화)_신설,28(강화)_신설,>,186,1,,3708,0km,0
28(강화)_신설,28(강화)_신설,>,187,0,6780,,0km,0
28(강화)_신설,28(강화)_신설,>,188,0,6365,,0km,0
28(강화)_신설,28(강화)_신설,>,189,1,,2649,0km,0
28(강화)_신설,28(강화)_신설,>,190,0,6782,,0km,0
28(강화)_신설,28(강화)_신설,>,191,1,,3828,0km,0
28(강화)_신설,28(강화)_신설,>,192,0,6784,,0km,0
28(강화)_신설,28(강화)_신설,>,193,1,,3371,0km,0
28(강화)_신설,28(강화)_신설,>,194,0,6786,,0km,0
28(강화)_신설,28(강화)_신설,>,195,0,162,,0km,0
28(강화)_신설,28(강화)_신설,>,196,1,,3073,0km,0
28(강화)_신설,28(강화)_신설,>,197,0,6788,,0km,0
28(강화)_신설,28(강화)_신설,>,198,1,,2648,0km,0
28(강화)_신설,28(강화)_신설,>,199,0,6790,,0km,0
28(강화)_신설,28(강화)_신설,>,200,0,3550,,0km,0
28(강화)_신설,28(강화)_신설,>,201,0,209,,0km,0
28(강화)_신설,28(강화)_신설,>,202,1,,3370,0km,0
28(강화)_신설,28(강화)_신설,>,203,0,6793,,0km,0
28(강화)_신설,28(강화)_신설,>,204,0,5080,,0km,0
28(강화)_신설,28(강화)_신설,>,205,0,211,,0km,0
28(강화)_신설,28(강화)_신설,>,206,1,,3369,0km,0
28(강화)_신설,28(강화)_신설,>,207,0,6795,,0km,0
28(강화)_신설,28(강화)_신설,>,208,1,,2647,0km,0
28(강화)_신설,28(강화)_신설,>,209,0,6797,,0km,0
28(강화)_신설,28(강화)_신설,>,210,0,221,,0km,0
28(강화)_신설,28(강화)_신설,>,211,1,,3015,0km,0
28(강화)_신설,28(강화)_신설,>,212,0,6862,,0km,0
28(강화)_신설,28(강화)_신설,>,213,1,,3014,0km,0
28(강화)_신설,28(강화)_신설,>,214,0,3629,,0km,0
28(강화)_신설,28(강화)_신설,>,215,1,,3001,0km,0
28(강화)_신설,28(강화)_신설,>,216,0,6865,,0km,0
28(강화)_신설,28(강화)_신설,>,217,1,,2658,0km,0
28(강화)_신설,28(강화)_신설,>,218,0,6867,,0km,0
28(강화)_신설,28(강화)_신설,>,219,0,257,,0km,0
28(강화)_신설,28(강화)_신설,>,220,1,,2999,0km,0
28(강화)_신설,28(강화)_신설,>,221,0,6879,,0km,0
28(강화)_신설,28(강화)_신설,>,222,0,258,,0km,0
28(강화)_신설,28(강화)_신설,>,223,1,,3549,0km,0
28(강화)_신설,28(강화)_신설,>,224,0,6881,,0km,0
28(강화)_신설,28(강화)_신설,>,225,1,,2657,0km,0
28(강화)_신설,28(강화)_신설,>,226,0,6882,,0km,0
28(강화)_신설,28(강화)_신설,>,227,0,246,,0km,0
28(강화)_신설,28(강화)_신설,>,228,0,240,,0km,0
28(강화)_신설,28(강화)_신설,>,229,0,6043,,0km,0
28(강화)_신설,28(강화)_신설,>,230,0,225,,0km,0
28(강화)_신설,28(강화)_신설,>,231,1,,3812,0km,0
28(강화)_신설,28(강화)_신설,>,232,0,6887,,0km,0
28(강화)_신설,28(강화)_신설,>,233,1,,2629,0km,0
28(강화)_신설,28(강화)_신설,>,234,0,6888,,0km,0
28(강화)_신설,28(강화)_신설,>,235,1,,3652,0km,0
28(강화)_신설,28(강화)_신설,>,236,0,6890,,0km,0
28(강화)_신설,28(강화)_신설,>,237,1,,2656,0km,0
28(강화)_신설,28(강화)_신설,>,238,0,6892,,0km,0
28(강화)_신설,28(강화)_신설,>,239,1,,2655,0km,0
28(강화)_신설,28(강화)_신설,>,240,0,6894,,0km,0
28(강화)_신설,28(강화)_신설,>,241,1,,3515,0km,0
28(강화)_신설,28(강화)_신설,>,242,0,6896,,0km,0
28(강화)_신설,28(강화)_신설,>,243,1,,2654,0km,0
28(강화)_신설,28(강화)_신설,>,244,0,6898,,0km,0
28(강화)_신설,28(강화)_신설,>,245,0,186,,0km,0
28(강화)_신설,28(강화)_신설,>,246,0,185,,0km,0
28(강화)_신설,28(강화)_신설,>,247,0,5380,,0km,0
28(강화)_신설,28(강화)_신설,>,248,1,,3504,0km,0
28(강화)_신설,28(강화)_신설,>,249,0,6910,,0km,0
28(강화)_신설,28(강화)_신설,>,250,1,,3367,0km,0
28(강화)_신설,28(강화)_신설,>,251,0,6912,,0km,0
28(강화)_신설,28(강화)_신설,>,252,0,219,,0km,0
28(강화)_신설,28(강화)_신설,>,253,0,4201,,0km,0
28(강화)_신설,28(강화)_신설,>,254,0,220,,0km,0
28(강화)_신설,28(강화)_신설,>,255,1,,3130,0km,0
28(강화)_신설,28(강화)_신설,>,256,0,6914,,0km,0
28(강화)_신설,28(강화)_신설,>,257,1,,3616,0km,0
28(강화)_신설,28(강화)_신설,>,258,0,6993,,0km,0
28(강화)_신설,28(강화)_신설,>,259,1,,3368,0km,0
28(강화)_신설,28(강화)_신설,>,260,0,6995,,0km,0
28(강화)_신설,28(강화)_신설,>,261,0,5615,,0km,0
28(강화)_신설,28(강화)_신설,>,262,1,,3614,0km,0
28(강화)_신설,28(강화)_신설,>,263,0,6997,,0km,0
28(강화)_신설,28(강화)_신설,>,264,0,285,,0km,0
28(강화)_신설,28(강화)_신설,>,265,1,,3613,0km,0
28(강화)_신설,28(강화)_신설,>,266,0,7041,,0km,0
28(강화)_신설,28(강화)_신설,>,267,0,5064,,0km,0
28(강화)_신설,28(강화)_신설,>,268,1,,3612,0km,0
28(강화)_신설,28(강화)_신설,>,269,0,7043,,0km,0
28(강화)_신설,28(강화)_신설,>,270,0,296,,0km,0
28(강화)_신설,28(강화)_신설,>,271,1,,3978,0km,0
28(강화)_신설,28(강화)_신설,>,272,0,7044,,0km,0
28(강화)_신설,28(강화)_신설,>,273,1,,3187,0km,0
28(강화)_신설,28(강화)_신설,>,274,0,7046,,0km,0
28(강화)_신설,28(강화)_신설,>,275,0,297,,0km,0
28(강화)_신설,28(강화)_신설,>,276,1,,3611,0km,0
28(강화)_신설,28(강화)_신설,>,277,0,7048,,0km,0
28(강화)_신설,28(강화)_신설,>,278,1,,3610,0km,0
28(강화)_신설,28(강화)_신설,>,279,0,7050,,0km,0
28(강화)_신설,28(강화)_신설,>,280,0,3858,,0km,0
28(강화)_신설,28(강화)_신설,>,281,0,312,,0km,0
28(강화)_신설,28(강화)_신설,>,282,0,5040,,0km,0
28(강화)_신설,28(강화)_신설,>,283,1,,2964,0km,0
28(강화)_신설,28(강화)_신설,>,284,0,7052,,0km,0
28(강화)_신설,28(강화)_신설,>,285,0,318,,0km,0
28(강화)_신설,28(강화)_신설,>,286,0,4200,,0km,0
28(강화)_신설,28(강화)_신설,>,287,0,330,,0km,0
28(강화)_신설,28(강화)_신설,>,288,1,,2727,0km,0
28(강화)_신설,28(강화)_신설,>,289,0,7060,,0km,0
28(강화)_신설,28(강화)_신설,>,290,1,,2966,0km,0
28(강화)_신설,28(강화)_신설,>,291,0,7062,,0km,0
28(강화)_신설,28(강화)_신설,>,292,1,,3454,0km,0
28(강화)_신설,28(강화)_신설,>,293,0,7064,,0km,0
28(강화)_신설,28(강화)_신설,>,294,0,348,,0km,0
28(강화)_신설,28(강화)_신설,>,295,0,352,,0km,0
28(강화)_신설,28(강화)_신설,>,296,1,,2995,0km,0
28(강화)_신설,28(강화)_신설,>,297,0,7291,,0km,0
28(강화)_신설,28(강화)_신설,>,298,0,5062,,0km,0
28(강화)_신설,28(강화)_신설,>,299,0,371,,0km,0
28(강화)_신설,28(강화)_신설,>,300,1,,2967,0km,0
28(강화)_신설,28(강화)_신설,>,301,0,7295,,0km,0
28(강화)_신설,28(강화)_신설,>,302,0,386,,0km,0
28(강화)_신설,28(강화)_신설,>,303,0,6193,,0km,0
28(강화)_신설,28(강화)_신설,>,304,0,411,,0km,0
28(강화)_신설,28(강화)_신설,>,305,1,,3181,0km,0
28(강화)_신설,28(강화)_신설,>,306,0,7300,,0km,0
28(강화)_신설,28(강화)_신설,>,307,0,391,,0km,0
28(강화)_신설,28(강화)_신설,>,308,1,,837,0km,0
